time,moyenne_variable
2010-01,34.692608
2010-02,34.678696
2010-03,34.70268
2010-04,34.70407
2010-05,34.729305
2010-06,34.6955
2010-07,34.639988
2010-08,34.5576
2010-09,34.547516
2010-10,34.58634
2010-11,34.69295
2010-12,34.719913
2011-01,34.729313
2011-02,34.719547
2011-03,34.726917
2011-04,34.7229
2011-05,34.71163
2011-06,34.69491
2011-07,34.63014
2011-08,34.469032
2011-09,34.447266
2011-10,34.48796
2011-11,34.55433
2011-12,34.65365
2012-01,34.674248
2012-02,34.677147
2012-03,34.68789
2012-04,34.690567
2012-05,34.69589
2012-06,34.651047
2012-07,34.538624
2012-08,34.457912
2012-09,34.50182
2012-10,34.505054
2012-11,34.55698
2012-12,34.64846
2013-01,34.666798
2013-02,34.680832
2013-03,34.682983
2013-04,34.700768
2013-05,34.71126
2013-06,34.65942
2013-07,34.581642
2013-08,34.50564
2013-09,34.52478
2013-10,34.545643
2013-11,34.666542
2013-12,34.673817
2014-01,34.691216
2014-02,34.69703
2014-03,34.697628
2014-04,34.718075
2014-05,34.705605
2014-06,34.66279
2014-07,34.57043
2014-08,34.528152
2014-09,34.536545
2014-10,34.56824
2014-11,34.625214
2014-12,34.685772
2015-01,34.699356
2015-02,34.696392
2015-03,34.6925
2015-04,34.70341
2015-05,34.684418
2015-06,34.67206
2015-07,34.580585
2015-08,34.4547
2015-09,34.465107
2015-10,34.507877
2015-11,34.62704
2015-12,34.6627
2016-01,34.70097
2016-02,34.709103
2016-03,34.71705
2016-04,34.714363
2016-05,34.711952
2016-06,34.681866
2016-07,34.575893
2016-08,34.513313
2016-09,34.510876
2016-10,34.514343
2016-11,34.57916
2016-12,34.643604
2017-01,34.67846
2017-02,34.69267
2017-03,34.698696
2017-04,34.70635
2017-05,34.701252
2017-06,34.66569
2017-07,34.528355
2017-08,34.467293
2017-09,34.46155
2017-10,34.511562
2017-11,34.61671
2017-12,34.67
2018-01,34.676537
2018-02,34.69466
2018-03,34.704506
2018-04,34.693813
2018-05,34.686237
2018-06,34.66672
2018-07,34.595757
2018-08,34.486034
2018-09,34.476105
2018-10,34.519943
2018-11,34.57294
2018-12,34.66394
2019-01,34.68514
2019-02,34.691532
2019-03,34.711967
2019-04,34.706947
2019-05,34.695797
2019-06,34.659985
2019-07,34.55919
2019-08,34.42841
2019-09,34.441345
2019-10,34.46662
2019-11,34.53495
2019-12,34.656403
2020-01,34.676594
2020-02,34.691963
2020-03,34.705566
2020-04,34.71025
2020-05,34.691154
2020-06,34.62656
2020-07,34.53951
2020-08,34.470768
2020-09,34.48099
2020-10,34.51156
2020-11,34.564243
2020-12,34.666542
2021-01,34.68911
2021-02,34.70508
2021-03,34.702435
2021-04,34.710724
2021-05,34.700596
2021-06,34.643898
2021-07,34.586258
2021-08,34.51105
2021-09,34.507523
2021-10,34.534023
2021-11,34.634747
2021-12,34.684025
2022-01,34.69546
2022-02,34.702133
2022-03,34.705513
2022-04,34.696022
2022-05,34.699562
2022-06,34.648495
2022-07,34.545994
2022-08,34.488003
2022-09,34.449085
2022-10,34.49395
2022-11,34.58908
2022-12,34.650406
2023-01,34.68843
2023-02,34.687683
2023-03,34.700497
2023-04,34.70561
2023-05,34.70119
2023-06,34.660965
2023-07,34.543026
2023-08,34.441097
2023-09,34.426174
2023-10,34.479393
2023-11,34.58943
2023-12,34.64045
