Colonne 1,Colonne 2,Colonne 3,Colonne 11
year,month,day,value
2006,10,12,383.38
2006,10,19,379.58
2006,10,24,381.02
2006,11,2,385.48
2006,11,9,382.09
2006,11,16,384.17
2006,11,23,384.51
2006,11,30,386.59
2006,12,7,385.23
2006,12,14,384.54
2006,12,21,386.82
2006,12,28,386.27
2007,1,4,387.09
2007,1,11,385.96
2007,1,18,387.05
2007,1,25,386.95
2007,2,2,387.4
2007,2,8,386.53
2007,2,15,385.72
2007,2,22,388.28
2007,3,1,386.96
2007,3,8,389.07
2007,3,15,389.22
2007,3,23,388.13
2007,3,29,386.99
2007,4,5,388.62
2007,4,12,386.55
2007,4,26,387.26
2007,5,3,387.02
2007,5,10,387.12
2007,5,17,387.34
2007,5,24,383.89
2007,5,31,386.1
2007,6,7,386.3
2007,6,14,385.24
2007,6,21,388.39
2007,6,28,384.4
2007,7,5,379.06
2007,7,12,379.46
2007,7,19,379.82
2007,7,26,379.51
2007,8,2,381.99
2007,8,9,379.14
2007,8,16,380.65
2007,8,23,382.68
2007,8,30,383.88
2007,9,7,376.09
2007,9,13,380.37
2007,9,20,378.64
2007,9,27,381.22
2007,10,4,383.27
2007,10,12,384.03
2007,10,18,385.3
2007,10,26,383.08
2007,11,1,387.54
2007,11,8,387.23
2007,11,15,385.67
2007,11,22,385.81
2007,11,29,386.05
2007,12,6,387.99
2007,12,13,399.24
2007,12,20,392.04
2007,12,27,390.87
2008,1,3,387.84
2008,1,10,388.29
2008,1,18,390.03
2008,1,24,391.54
2008,1,31,388.68
2008,2,7,390.18
2008,2,14,390.79
2008,2,21,389.78
2008,2,28,388.37
2008,3,6,391.48
2008,3,13,387.84
2008,3,20,390.72
2008,3,27,389.3
2008,4,3,389.57
2008,4,10,389.84
2008,4,17,390.0
2008,4,24,392.79
2008,5,2,389.96
2008,5,8,386.84
2008,5,15,388.94
2008,5,22,388.73
2008,5,29,388.0
2008,6,5,388.46
2008,6,12,386.67
2008,6,19,389.46
2008,6,26,386.04
2008,7,4,386.69
2008,7,10,383.84
2008,7,17,381.94
2008,7,24,381.01
2008,7,31,380.76
2008,8,7,384.65
2008,8,14,382.36
2008,8,21,378.52
2008,8,29,380.07
2008,9,4,383.28
2008,9,11,383.67
2008,9,18,381.55
2008,9,25,382.83
2008,10,3,386.6
2008,10,9,382.18
2008,10,16,385.16
2008,10,23,383.98
2008,10,30,383.62
2008,11,13,387.08
2008,11,20,388.22
2008,11,27,385.88
2008,12,4,388.66
2008,12,12,389.7
2008,12,18,389.97
2008,12,27,387.9
2009,1,8,390.55
2009,1,15,390.26
2009,1,23,390.1
2009,1,29,389.5
2009,2,5,392.8
2009,2,12,391.75
2009,2,20,394.86
2009,2,26,395.55
2009,3,5,390.25
2009,3,19,393.59
2009,3,26,392.36
2009,4,2,391.41
2009,4,9,391.61
2009,4,16,390.79
2009,4,23,389.63
2009,4,30,395.8
2009,5,7,387.61
2009,5,14,389.02
2009,5,21,391.93
2009,5,28,387.24
2009,6,4,382.92
2009,6,11,390.88
2009,6,18,390.82
2009,6,25,384.55
2009,7,2,388.66
2009,7,9,387.07
2009,7,16,380.17
2009,7,24,382.69
2009,7,30,383.83
2009,8,6,385.2
2009,8,13,384.71
2009,8,20,383.98
2009,8,28,382.15
2009,9,3,383.91
2009,9,10,379.05
2009,9,24,385.99
2009,10,1,385.28
2009,10,8,385.45
2009,10,15,386.04
2009,10,30,389.11
2009,11,9,388.37
2009,11,12,389.23
2009,11,19,386.8
2009,12,11,392.47
2009,12,17,390.56
2009,12,23,389.55
2009,12,31,391.52
2010,1,7,390.11
2010,1,15,391.8
2010,1,23,392.38
2010,2,6,393.23
2010,2,11,394.11
2010,2,19,392.14
2010,2,25,393.43
2010,3,4,392.65
2010,3,11,396.41
2010,3,18,395.36
2010,3,25,393.59
2010,4,1,394.21
2010,4,8,394.83
2010,4,15,394.08
2010,4,22,394.79
2010,4,29,394.49
2010,5,6,394.13
2010,5,20,391.01
2010,5,27,388.03
2010,6,3,394.97
2010,6,10,387.52
2010,6,17,394.26
2010,6,24,385.87
2010,7,1,387.27
2010,7,8,385.26
2010,7,16,387.39
2010,7,22,388.08
2010,7,29,385.53
2010,8,5,382.42
2010,8,12,385.93
2010,8,19,383.06
2010,8,27,387.3
2010,9,2,434.59
2010,9,9,385.05
2010,9,17,386.8
2010,9,24,388.44
2010,9,30,387.64
2010,10,7,389.89
2010,10,21,389.26
2010,10,28,391.19
2010,11,4,391.75
2010,12,9,394.5
2010,12,17,395.11
2010,12,23,390.88
2010,12,30,398.59
2011,1,6,393.89
2011,1,14,395.19
2011,1,21,396.86
2011,1,28,397.53
2011,2,3,397.5
2011,2,11,392.41
2011,3,3,397.78
2011,3,11,394.95
2011,3,24,401.81
2011,3,31,400.27
2011,4,7,397.01
2011,4,15,397.29
2011,4,21,397.44
2011,5,9,393.23
2011,5,19,392.89
2011,5,26,391.9
2011,6,2,394.67
2011,6,10,395.53
2011,6,24,395.05
2011,6,30,394.53
2011,7,7,391.53
2011,7,15,390.55
2011,7,22,387.25
2011,7,28,386.01
2011,8,4,389.27
2011,8,11,387.49
2011,8,25,387.38
2011,9,1,383.62
2011,9,9,385.42
2011,9,16,387.85
2011,9,30,391.36
2011,10,7,389.92
2011,10,21,390.37
2011,11,5,392.96
2011,11,11,393.78
2011,11,18,394.23
2011,12,2,394.95
2011,12,16,393.65
2012,1,6,395.57
2012,1,13,395.7
2012,1,19,397.26
2012,1,27,398.23
2012,2,3,397.03
2012,2,9,405.15
2012,2,15,399.78
2012,2,24,400.18
2012,3,2,399.74
2012,3,8,397.24
2012,3,22,396.71
2012,3,29,399.13
2012,5,11,397.46
2012,5,18,397.88
2012,5,31,391.19
2012,6,14,395.79
2012,6,29,390.78
2012,7,5,388.02
2012,7,19,387.77
2012,7,26,390.4
2012,8,2,389.8
2012,8,9,390.17
2012,8,16,390.43
2012,8,23,388.89
2012,8,31,389.35
2012,9,6,390.02
2012,9,13,391.7
2012,9,20,393.9
2012,10,5,392.97
2012,10,12,394.25
2012,10,26,395.09
2012,11,8,396.72
2012,11,16,397.09
2012,11,23,399.85
2012,12,6,397.46
2012,12,14,397.55
2012,12,20,398.82
2013,1,27,401.38
2013,2,2,398.39
2013,2,8,399.7
2013,2,15,403.06
2013,2,28,404.3
2013,3,16,400.61
2013,3,21,400.36
2013,3,29,400.31
2013,4,4,399.72
2013,4,11,402.09
2013,4,18,401.64
2013,4,26,399.63
2013,5,10,398.88
2013,5,17,401.01
2013,5,24,398.55
2013,5,31,400.02
2013,6,7,396.79
2013,6,13,394.58
2013,6,21,398.04
2013,7,5,394.18
2013,7,11,387.33
2013,7,18,390.82
2013,7,25,388.44
2013,8,2,393.87
2013,8,10,389.11
2013,8,16,390.32
2013,8,22,394.18
2013,8,30,394.25
2013,9,5,392.8
2013,9,13,389.96
2013,10,25,395.78
2013,11,8,396.35
2013,11,22,399.54
2013,12,14,399.05
2013,12,19,401.02
2013,12,28,401.04
2014,1,11,401.24
2014,1,23,401.99
2014,2,6,402.37
2014,2,21,401.36
2014,3,7,409.42
2014,3,22,402.33
2014,3,29,404.09
2014,4,11,401.87
2014,5,2,403.76
2014,5,16,401.53
2014,5,24,397.56
2014,5,30,399.35
2014,6,6,397.23
2014,6,13,396.95
2014,6,27,399.51
2014,7,11,392.44
2014,7,18,392.43
2014,7,25,397.1
2014,8,2,391.52
2014,8,8,387.87
2014,8,22,390.59
2014,8,29,392.92
2014,9,11,395.33
2014,9,26,394.15
2014,10,10,397.45
2014,10,16,398.61
2014,10,25,400.46
2014,11,8,399.87
2014,11,14,400.46
2014,11,21,401.58
2014,12,6,405.61
2014,12,13,402.22
2014,12,27,404.17
2015,1,9,403.31
2015,1,17,401.9
2015,1,30,401.69
2015,2,7,403.71
2015,2,13,404.13
2015,2,20,404.92
2015,2,27,404.83
2015,3,6,406.72
2015,3,13,405.56
2015,3,20,404.5
2015,3,27,402.94
2015,4,3,403.19
2015,4,10,405.85
2015,4,18,403.85
2015,4,23,404.53
2015,5,1,402.89
2015,5,15,404.95
2015,5,22,399.71
2015,5,29,401.72
2015,6,5,403.02
2015,6,12,399.17
2015,6,19,398.25
2015,6,26,399.07
2015,7,3,396.21
2015,7,10,396.12
2015,7,17,396.35
2015,7,24,402.2
2015,7,31,405.64
2015,8,7,398.09
2015,8,21,391.55
2015,9,4,398.5
2015,9,11,393.38
2015,9,18,396.54
2015,9,25,396.81
2015,10,9,399.44
