year_month,value
2006-10,381.32666666666665
2006-11,384.568
2006-12,385.71500000000003
2007-01,386.7625
2007-02,386.98249999999996
2007-03,388.07399999999996
2007-04,387.4766666666667
2007-05,386.294
2007-06,386.0825
2007-07,379.4625
2007-08,381.668
2007-09,379.08
2007-10,383.91999999999996
2007-11,386.46000000000004
2007-12,392.535
2008-01,389.276
2008-02,389.78
2008-03,389.83500000000004
2008-04,390.55
2008-05,388.494
2008-06,387.6575
2008-07,382.848
2008-08,381.4
2008-09,382.8325
2008-10,384.308
2008-11,387.06
2008-12,389.0575
2009-01,390.1025
2009-02,393.74
2009-03,392.06666666666666
2009-04,391.848
2009-05,388.95
2009-06,387.2925
2009-07,384.48400000000004
2009-08,384.01
2009-09,382.98333333333335
2009-10,386.47
2009-11,388.1333333333334
2009-12,391.025
2010-01,391.43
2010-02,393.2275
2010-03,394.5025
2010-04,394.48
2010-05,391.0566666666667
2010-06,390.655
2010-07,386.706
2010-08,384.6775
2010-09,396.504
2010-10,390.1133333333333
2010-11,391.75
2010-12,394.77
2011-01,395.8675
2011-02,394.95500000000004
2011-03,398.7025
2011-04,397.24666666666667
2011-05,392.67333333333335
2011-06,394.945
2011-07,388.835
2011-08,388.0466666666666
2011-09,387.0625
2011-10,390.145
2011-11,393.6566666666667
2011-12,394.29999999999995
2012-01,396.69
2012-02,400.53499999999997
2012-03,398.205
2012-05,395.51
2012-06,393.28499999999997
2012-07,388.73
2012-08,389.728
2012-09,391.8733333333333
2012-10,394.1033333333333
2012-11,397.8866666666667
2012-12,397.9433333333333
2013-01,401.38
2013-02,401.3625
2013-03,400.4266666666667
2013-04,400.77
2013-05,399.615
2013-06,396.47
2013-07,390.1925
2013-08,392.346
2013-09,391.38
2013-10,395.78
2013-11,397.94500000000005
2013-12,400.37000000000006
2014-01,401.615
2014-02,401.865
2014-03,405.28
2014-04,401.87
2014-05,400.55
2014-06,397.8966666666667
2014-07,393.99
2014-08,390.725
2014-09,394.74
2014-10,398.84
2014-11,400.6366666666666
2014-12,404.0
2015-01,402.3
2015-02,404.3975
2015-03,404.93
2015-04,404.355
2015-05,402.3175
2015-06,399.8775
2015-07,399.304
2015-08,394.82
2015-09,396.3075
2015-10,400.6333333333334
2015-11,405.6725
2015-12,405.28999999999996
2016-01,406.29999999999995
2016-02,406.25666666666666
2016-03,408.595
2016-04,407.525
2016-05,406.3025
2016-06,404.29499999999996
2016-07,399.346
2016-08,398.775
2016-09,401.41999999999996
2016-10,406.1566666666667
2016-11,408.63
2016-12,408.785
2017-01,410.82
2017-02,410.3125
2017-03,410.8
2017-04,410.4975
2017-05,437.5833333333333
2017-06,405.96999999999997
2017-07,401.27750000000003
2017-08,401.73333333333335
2017-09,403.2425
2017-10,406.56
2017-11,409.31
2017-12,410.7925
2018-01,412.16499999999996
2018-02,414.495
2018-03,412.316
2018-04,414.7833333333333
2018-05,412.762
2018-06,407.082
2018-07,406.1975
2018-08,403.0475
2018-09,405.93
2018-10,407.406
2018-11,411.155
2018-12,411.9875
2019-01,415.8
2019-02,414.09999999999997
2019-03,415.34
2019-04,415.81
2019-05,413.02799999999996
2019-06,412.47749999999996
2019-07,407.2025
2019-08,406.608
2019-09,407.0425
2019-10,411.06666666666666
2019-11,414.41999999999996
2019-12,415.22
2020-01,416.378
2020-02,417.29
2020-03,418.22
2020-04,419.0025
2020-05,416.206
2020-06,413.5775
2020-07,409.3075
2020-08,408.47
2020-09,411.5975
2020-10,413.454
2020-11,415.95
2020-12,417.96000000000004
2021-01,418.9075
2021-02,421.235
2021-03,421.18
2021-04,421.085
2021-05,420.3
2021-06,416.195
2021-07,413.36800000000005
2021-08,410.7525
2021-09,412.245
2021-10,415.76800000000003
2021-11,420.5
2021-12,421.7425
2022-01,423.1875
2022-02,422.245
2022-03,423.81
2022-04,423.9925
2022-05,421.175
2022-06,416.94
2022-07,416.4025
2022-08,415.6166666666666
2022-09,415.116
2022-10,417.6775
2022-11,421.885
2022-12,421.86800000000005
2023-01,425.39333333333326
2023-02,424.8733333333333
2023-03,425.904
2023-04,425.77
2023-05,423.6275
2023-06,420.8066666666667
2023-07,419.7733333333333
2023-08,414.40333333333336
2023-09,416.6933333333333
2023-10,420.6666666666667
2023-11,423.47333333333336
2023-12,426.7425
2024-01,426.63
2024-02,426.60249999999996
2024-03,427.52250000000004
2024-04,428.54333333333335
2024-05,426.7125
2024-06,423.6225
2024-07,420.60999999999996
2024-08,422.105
2024-09,419.7633333333333
2024-10,423.8766666666667
2024-11,425.07
