time,greenland_mass_antarctica,uncertainty_antarctica,greenland_mass_greenland,uncertainty_greenland
2002.29,0.0,134.71,0.0,134.71
2002.35,63.95,70.85,63.95,70.85
2002.62,-215.57,53.55,-215.57,53.55
2002.71,-235.55,65.24,-235.55,65.24
2002.79,-201.92,39.23,-201.92,39.23
2002.87,-204.0,35.96,-204.0,35.96
2002.96,-182.74,36.9,-182.74,36.9
2003.04,-133.45,41.64,-133.45,41.64
2003.12,-146.34,29.91,-146.34,29.91
2003.2,-80.33,26.07,-80.33,26.07
2003.29,-35.26,25.91,-35.26,25.91
2003.36,-30.59,28.36,-30.59,28.36
2003.54,-205.52,21.35,-205.52,21.35
2003.62,-342.11,22.11,-342.11,22.11
2003.71,-384.83,22.42,-384.83,22.42
2003.79,-381.6,22.85,-381.6,22.85
2003.87,-382.66,22.59,-382.66,22.59
2003.96,-344.78,22.43,-344.78,22.43
2004.02,-367.2,26.06,-367.2,26.06
2004.13,-372.04,22.62,-372.04,22.62
2004.21,-352.48,21.16,-352.48,21.16
2004.29,-293.52,21.2,-293.52,21.2
2004.37,-312.53,21.45,-312.53,21.45
2004.46,-329.17,21.32,-329.17,21.32
2004.54,-426.31,19.19,-426.31,19.19
2004.62,-548.97,19.97,-548.97,19.97
2004.71,-589.65,20.94,-589.65,20.94
2004.79,-608.21,18.9,-608.21,18.9
2004.87,-567.89,20.65,-567.89,20.65
2004.96,-543.99,20.66,-543.99,20.66
2005.04,-555.32,19.66,-555.32,19.66
2005.12,-532.35,20.57,-532.35,20.57
2005.2,-486.59,20.63,-486.59,20.63
2005.29,-480.97,20.45,-480.97,20.45
2005.37,-446.13,20.67,-446.13,20.67
2005.46,-490.37,21.02,-490.37,21.02
2005.54,-617.13,20.2,-617.13,20.2
2005.62,-804.47,19.98,-804.47,19.98
2005.71,-870.19,19.83,-870.19,19.83
2005.79,-862.45,19.61,-862.45,19.61
2005.87,-861.03,19.1,-861.03,19.1
2005.96,-811.87,23.66,-811.87,23.66
2006.04,-832.4,20.52,-832.4,20.52
2006.12,-783.0,20.65,-783.0,20.65
2006.2,-762.38,20.37,-762.38,20.37
2006.29,-791.29,20.77,-791.29,20.77
2006.37,-781.92,20.53,-781.92,20.53
2006.45,-793.26,22.31,-793.26,22.31
2006.54,-874.86,22.17,-874.86,22.17
2006.62,-1002.95,20.64,-1002.95,20.64
2006.71,-1061.0,21.89,-1061.0,21.89
2006.79,-1048.62,21.51,-1048.62,21.51
2006.87,-1077.74,20.97,-1077.74,20.97
2006.96,-1089.12,21.52,-1089.12,21.52
2007.04,-1055.55,22.2,-1055.55,22.2
2007.12,-1010.39,21.6,-1010.39,21.6
