time,chlor_a
1997-06-01,
1997-07-01,
1997-08-01,
1997-09-01,0.053406797
1997-10-01,0.056052394
1997-11-01,0.0778316
1997-12-01,0.11560899
1998-01-01,0.12050937
1998-02-01,0.113974266
1998-03-01,0.09945272
1998-04-01,0.07292001
1998-05-01,0.061651018
1998-06-01,0.04890375
1998-07-01,0.043851405
1998-08-01,0.04591523
1998-09-01,0.044533223
1998-10-01,0.05443832
1998-11-01,0.06553571
1998-12-01,0.11596314
1999-01-01,0.1285174
1999-02-01,0.121917725
1999-03-01,0.11741349
1999-04-01,0.07452423
1999-05-01,0.059606448
1999-06-01,0.05300641
1999-07-01,0.050302986
1999-08-01,0.04730195
1999-09-01,0.04868165
1999-10-01,0.05338912
1999-11-01,0.08253831
1999-12-01,0.1136137
2000-01-01,0.13225316
2000-02-01,0.123989895
2000-03-01,0.10755994
2000-04-01,0.0822113
2000-05-01,0.05970958
2000-06-01,0.049402244
2000-07-01,0.044724926
2000-08-01,0.047696587
2000-09-01,0.04737789
2000-10-01,0.059663903
2000-11-01,0.07404179
2000-12-01,0.092500426
2001-01-01,0.119775325
2001-02-01,0.123583585
2001-03-01,0.084399685
2001-04-01,0.06457805
2001-05-01,0.055868283
2001-06-01,0.04633715
2001-07-01,0.04563097
2001-08-01,0.044580996
2001-09-01,0.045348987
2001-10-01,0.04966025
2001-11-01,0.0751781
2001-12-01,0.11523552
2002-01-01,0.11993101
2002-02-01,0.11917742
2002-03-01,0.097392604
2002-04-01,0.08215042
2002-05-01,0.058099475
2002-06-01,0.04796555
2002-07-01,0.047704667
2002-08-01,0.04622452
2002-09-01,0.04743124
2002-10-01,0.0525415
2002-11-01,0.070258714
2002-12-01,0.10207372
2003-01-01,0.12688911
2003-02-01,0.12310367
2003-03-01,0.10777639
2003-04-01,0.09036554
2003-05-01,0.059454855
2003-06-01,0.05343473
2003-07-01,0.047136955
2003-08-01,0.046134155
2003-09-01,0.04985385
2003-10-01,0.05891715
2003-11-01,0.07805288
2003-12-01,0.1051792
2004-01-01,0.14127356
2004-02-01,0.14329201
2004-03-01,0.13883735
2004-04-01,0.08857714
2004-05-01,0.06580769
2004-06-01,0.051433634
2004-07-01,0.049974747
2004-08-01,0.045165826
2004-09-01,0.048888918
2004-10-01,0.053299304
2004-11-01,0.08187654
2004-12-01,0.10519013
2005-01-01,0.11929302
2005-02-01,0.12298301
2005-03-01,0.122342885
2005-04-01,0.09160226
2005-05-01,0.059979435
2005-06-01,0.05272238
2005-07-01,0.047774956
2005-08-01,0.04646097
2005-09-01,0.050489053
2005-10-01,0.054166175
2005-11-01,0.06503911
2005-12-01,0.10602897
2006-01-01,0.10574273
2006-02-01,0.13233282
2006-03-01,0.12925802
2006-04-01,0.090321645
2006-05-01,0.061956853
2006-06-01,0.05275185
2006-07-01,0.0487044
2006-08-01,0.043712635
2006-09-01,0.044916358
2006-10-01,0.053087994
2006-11-01,0.06792609
2006-12-01,0.08416958
2007-01-01,0.1100332
2007-02-01,0.120105304
2007-03-01,0.10465824
2007-04-01,0.079845205
2007-05-01,0.062349737
2007-06-01,0.05593414
2007-07-01,0.046265293
2007-08-01,0.044252437
2007-09-01,0.045396
2007-10-01,0.052674644
2007-11-01,0.07959219
2007-12-01,0.11241622
2008-01-01,0.12497138
2008-02-01,0.115188405
2008-03-01,0.11119062
2008-04-01,0.0818547
2008-05-01,0.055728983
2008-06-01,0.051168155
2008-07-01,0.046680138
2008-08-01,0.042037137
2008-09-01,0.043387417
2008-10-01,0.05258711
2008-11-01,0.071524605
2008-12-01,0.11899726
2009-01-01,0.14406097
2009-02-01,0.13185135
2009-03-01,0.120546296
2009-04-01,0.09284977
2009-05-01,0.060108732
2009-06-01,0.048957083
2009-07-01,0.045269176
2009-08-01,0.04173687
2009-09-01,0.0463811
2009-10-01,0.057311233
2009-11-01,0.08158698
2009-12-01,0.11245394
2010-01-01,0.13421172
2010-02-01,0.14612976
2010-03-01,0.14318547
2010-04-01,0.084989965
2010-05-01,0.060146596
2010-06-01,0.052976083
2010-07-01,0.049593993
2010-08-01,0.046181247
2010-09-01,0.047830313
2010-10-01,0.06070355
2010-11-01,0.08407782
2010-12-01,0.13561842
2011-01-01,0.13242786
2011-02-01,0.13956021
2011-03-01,0.1203731
2011-04-01,0.075055875
2011-05-01,0.062358346
2011-06-01,0.051019646
2011-07-01,0.048880022
2011-08-01,0.044373076
2011-09-01,0.04678161
2011-10-01,0.053937662
2011-11-01,0.069676794
2011-12-01,0.083855264
2012-01-01,0.115406126
2012-02-01,0.13045172
2012-03-01,0.108305946
2012-04-01,0.076601565
2012-05-01,0.05466895
2012-06-01,0.046348177
2012-07-01,0.043517243
2012-08-01,0.040812
2012-09-01,0.044338085
2012-10-01,0.04820601
2012-11-01,0.0644347
2012-12-01,0.102026045
2013-01-01,0.115636714
2013-02-01,0.11422054
2013-03-01,0.13977405
2013-04-01,0.093568526
2013-05-01,0.06472899
2013-06-01,0.053404715
2013-07-01,0.047424134
2013-08-01,0.04242428
2013-09-01,0.045072768
2013-10-01,0.051595155
2013-11-01,0.06370073
2013-12-01,0.09620308
2014-01-01,0.113727994
2014-02-01,0.12476075
2014-03-01,0.10002508
2014-04-01,0.06446145
2014-05-01,0.05192976
2014-06-01,0.048097324
2014-07-01,0.045173142
2014-08-01,0.043071285
2014-09-01,0.043970175
2014-10-01,0.051099114
2014-11-01,0.06924905
2014-12-01,0.08819043
2015-01-01,0.13284153
2015-02-01,0.14111935
2015-03-01,0.1270653
2015-04-01,0.08780883
2015-05-01,0.056592934
2015-06-01,0.05073126
2015-07-01,0.04546138
2015-08-01,0.042798597
2015-09-01,0.04667045
2015-10-01,0.056693498
2015-11-01,0.067990616
2015-12-01,0.08691186
2016-01-01,0.123756185
2016-02-01,0.11640849
2016-03-01,0.10153781
2016-04-01,0.06624408
2016-05-01,0.054993972
2016-06-01,0.04908444
2016-07-01,0.04453429
2016-08-01,0.041074462
2016-09-01,0.044182237
2016-10-01,0.049623393
2016-11-01,0.067649774
2016-12-01,0.08772393
2017-01-01,0.10265795
2017-02-01,0.116567805
2017-03-01,0.108667515
2017-04-01,0.06341996
2017-05-01,0.047775086
2017-06-01,0.042763967
2017-07-01,0.04110171
2017-08-01,0.038708236
2017-09-01,0.043009143
2017-10-01,0.049137834
2017-11-01,0.06900282
2017-12-01,0.10059889
2018-01-01,0.1133823
2018-02-01,0.11359993
2018-03-01,0.1183139
2018-04-01,0.08470753
2018-05-01,0.061154287
2018-06-01,0.050694123
2018-07-01,0.04618063
2018-08-01,0.044194583
2018-09-01,0.045566246
2018-10-01,0.057599097
2018-11-01,0.078270815
2018-12-01,0.1032457
2019-01-01,0.113783024
2019-02-01,0.12673278
2019-03-01,0.11192774
2019-04-01,0.08375601
2019-05-01,0.059563316
2019-06-01,0.049924076
2019-07-01,0.04358109
2019-08-01,0.04193352
2019-09-01,0.04431241
2019-10-01,0.049179975
2019-11-01,0.0725759
2019-12-01,0.10617616
2020-01-01,0.11050876
2020-02-01,0.109919354
2020-03-01,0.09132091
2020-04-01,0.06479964
2020-05-01,0.049533155
2020-06-01,0.04351034
2020-07-01,0.03959735
2020-08-01,0.03734817
2020-09-01,0.044462554
2020-10-01,0.05373139
2020-11-01,0.061528955
2020-12-01,0.08569557
2021-01-01,0.11229644
2021-02-01,0.11432846
2021-03-01,0.09184401
2021-04-01,0.07353378
2021-05-01,0.052640982
2021-06-01,0.046336666
2021-07-01,0.043827254
2021-08-01,0.0420192
2021-09-01,0.044983838
2021-10-01,0.05112479
2021-11-01,0.072153226
2021-12-01,0.10435579
