year_month,sea level corrected adjusted,chlorophylle,sst_anomaly_filtered,CO2,salinité,greenland_mass,antarctica_mass
2010-01-01,13.668425612903224,0.13421172,0.14674054,391.43,34.692608,-1821.86,-739.09
2010-02-01,13.412240125,0.14612976,0.16704255,393.2275,34.678696,-1798.05,-717.92
2010-03-01,11.343056161290324,0.14318547,0.18924254,394.5025,34.70268,-1787.96,-605.84
2010-04-01,8.935582616666666,0.084989965,0.21856573,394.48,34.70407,-1815.11,-702.17
2010-05-01,7.603814354838709,0.060146596,0.2341019,391.0566666666667,34.729305,-1787.14,-742.25
2010-06-01,7.432774506666666,0.052976083,0.2257134,390.655,34.6955,-1893.93,-749.03
2010-07-01,7.7129723,0.049593993,0.21520023,386.706,34.639988,-2066.96,-949.22
2010-08-01,8.094029712903227,0.046181247,0.20302145,384.6775,34.5576,-2257.0,-874.52
2010-09-01,8.827925833333333,0.047830313,0.20344648,396.504,34.547516,-2353.05,-787.62
2010-10-01,10.05270206451613,0.06070355,0.21067002,390.1133333333333,34.58634,-2319.62,-831.56
2010-11-01,11.070812766666668,0.08407782,0.21351467,391.75,34.69295,-2339.68,-864.5
2010-12-01,10.919618306451614,0.13561842,0.22401461,394.77,34.719913,-2322.07,-873.54
2011-01-01,9.26230479032258,0.13242786,0.22644721,395.8675,34.729313,-2309.49,-909.6800000000001
2011-02-01,6.970358835714285,0.13956021,0.21523024,394.955,34.719547,-2296.91,-945.82
2011-03-01,5.213225158064517,0.1203731,0.2011223,398.7025,34.726917,-2284.49,-969.73
2011-04-01,4.805760723333333,0.075055875,0.18330483,397.2466666666666,34.7229,-2283.34,-998.69
2011-05-01,5.637374993548387,0.062358346,0.17682007,392.67333333333335,34.71163,-2302.29,-926.03
2011-06-01,6.700157813333333,0.051019646,0.20004626,394.945,34.69491,-2396.425,-899.5
2011-07-01,7.111295319354839,0.048880022,0.2255746,388.835,34.63014,-2490.56,-872.97
2011-08-01,6.562850638709677,0.044373076,0.24599202,388.0466666666666,34.469032,-2684.62,-901.95
2011-09-01,5.4505936,0.04678161,0.2631134,387.0625,34.447266,-2742.53,-819.19
2011-10-01,4.383172109677419,0.053937662,0.28766176,390.145,34.48796,-2763.5,-857.83
2011-10-01,4.383172109677419,0.053937662,0.28766176,390.145,34.48796,-2762.46,-850.78
2011-10-01,4.383172109677419,0.053937662,0.28766176,390.145,34.48796,-2763.5,-857.83
2011-10-01,4.383172109677419,0.053937662,0.28766176,390.145,34.48796,-2762.46,-850.78
2011-11-01,3.5505383,0.069676794,0.32704383,393.6566666666667,34.55433,-2743.02,-938.7733333333333
2011-12-01,2.83763064516129,0.083855264,0.34615767,394.3,34.65365,-2723.58,-1026.7666666666667
2012-01-01,2.438799551612904,0.115406126,0.34125757,396.69,34.674248,-2704.14,-1114.76
2012-01-01,2.438799551612904,0.115406126,0.34125757,396.69,34.674248,-2711.82,-1034.72
2012-01-01,2.438799551612904,0.115406126,0.34125757,396.69,34.674248,-2704.14,-1114.76
2012-01-01,2.438799551612904,0.115406126,0.34125757,396.69,34.674248,-2711.82,-1034.72
2012-02-01,2.9492477241379307,0.13045172,0.3267687,400.535,34.677147,-2690.63,-1079.4
2012-03-01,4.517788806451613,0.108305946,0.31110695,398.205,34.68789,-2645.24,-1067.31
2012-04-01,6.36035285,0.076601565,0.2992642,396.85749999999996,34.690567,-2634.25,-1009.3
2012-05-01,7.278722603225806,0.05466895,0.29655758,395.51,34.69589,-2650.69,-1030.9299999999998
2012-06-01,6.99171101,0.046348177,0.28381705,393.285,34.651047,-2667.13,-1052.56
2012-07-01,6.439085258064517,0.043517243,0.264331,388.73,34.538624,-2899.21,-1033.07
2012-08-01,6.5818952,0.040812,0.26522782,389.728,34.457912,-3206.86,-966.03
2012-09-01,7.21019648,0.044338085,0.25826785,391.8733333333333,34.50182,-3306.33,-935.37
2012-10-01,7.548674577419354,0.04820601,0.25183842,394.1033333333333,34.505054,-3275.385,-1001.75
2012-11-01,7.444586086666666,0.0644347,0.2730431,397.8866666666667,34.55698,-3244.44,-1068.13
2012-12-01,7.630305487096773,0.102026045,0.28491536,397.9433333333333,34.64846,-3227.67,-1091.62
2013-01-01,8.618207983870967,0.115636714,0.29094726,401.38,34.666798,-3224.6,-1265.72
2013-02-01,9.884462392857143,0.11422054,0.31738013,401.3625,34.680832,-3214.09,-1365.06
2013-03-01,10.504636064516127,0.13977405,0.34762096,400.4266666666667,34.682983,-3217.01,-1253.905
2013-04-01,9.929045866666666,0.093568526,0.37444836,400.77,34.700768,-3219.93,-1142.75
2013-05-01,8.538843429032259,0.06472899,0.38297218,399.615,34.71126,-3184.89,-1253.33
2013-06-01,7.27666133,0.053404715,0.3636206,396.47,34.65942,-3163.93,-1243.47
2013-07-01,6.71354120967742,0.047424134,0.3231236,390.1925,34.581642,-3270.51,-1194.02
2013-08-01,6.69043810967742,0.04242428,0.27830565,392.346,34.50564,-3293.1966666666667,-1229.2033333333334
