time,sst_anomaly,sst_anomaly_filtered
1982-01-15,-0.22812633,
1982-02-15,-0.25176266,
1982-03-15,-0.63939565,
1982-04-15,-0.82847565,
1982-05-15,-1.3471369,
1982-06-15,-0.6126541,
1982-07-15,-0.7548428,
1982-08-15,-1.3676598,
1982-09-15,-1.008956,
1982-10-15,-0.62887037,
1982-11-15,-0.6465659,
1982-12-15,-1.286453,
1983-01-15,-1.2434199,-0.99098366
1983-02-15,-1.307278,-1.0156205
1983-03-15,-1.23066,-1.0341288
1983-04-15,-1.2063545,-1.0424277
1983-05-15,-1.0644214,-1.0594907
1983-06-15,-1.5580952,-1.1118072
1983-07-15,-0.6521346,-1.1778748
1983-08-15,-1.5232941,-1.2231166
1983-09-15,-1.210948,-1.2572497
1983-10-15,-1.0692927,-1.2913964
1983-11-15,-0.8669899,-1.3072218
1983-12-15,-0.9860611,-1.2856736
1984-01-15,-0.7556451,-1.2541541
1984-02-15,-0.9068118,-1.2245597
1984-03-15,-0.87274235,-1.1958174
1984-04-15,-0.9934783,-1.175391
1984-05-15,-2.0011597,-1.1677396
1984-06-15,-2.469822,-1.1532793
1984-07-15,-2.068923,-1.1430491
1984-08-15,-2.2251863,-1.1403985
1984-09-15,-1.7898159,-1.1233208
1984-10-15,-1.4870524,-1.1025554
1984-11-15,-0.5479987,-1.0848985
1984-12-15,-0.35070962,-1.0652864
1985-01-15,-0.6662275,-1.0395648
1985-02-15,-0.46393755,-1.0192568
1985-03-15,-0.69436985,-1.0008935
1985-04-15,-0.76218027,-0.97993964
1985-05-15,-1.1413311,-0.93244326
1985-06-15,-0.78708535,-0.86758834
1985-07-15,-0.932097,-0.81968784
1985-08-15,-1.1161029,-0.7688557
1985-09-15,-0.79840916,-0.7076791
1985-10-15,-0.4850916,-0.65383804
1985-11-15,-0.6036622,-0.63139755
1985-12-15,-0.30800557,-0.63504046
1986-01-15,-0.19906712,-0.6435652
1986-02-15,-0.4886032,-0.65686744
1986-03-15,-0.4095139,-0.6696043
1986-04-15,-0.45092162,-0.6845093
1986-05-15,-0.26389003,-0.71239173
1986-06-15,-1.0940533,-0.7549666
1986-07-15,-1.1454694,-0.77939254
1986-08-15,-0.7086968,-0.78036654
1986-09-15,-0.3698283,-0.7617724
1986-10-15,-0.32267,-0.73569083
1986-11-15,-0.6352371,-0.73035103
1986-12-15,-0.43833014,-0.7381006
1987-01-15,-0.98779494,-0.74103296
1987-02-15,-0.78087693,-0.7281713
1987-03-15,-0.98880035,-0.717973
1987-04-15,-1.1831886,-0.7162138
1987-05-15,-2.05868,-0.7207686
1987-06-15,-1.9133308,-0.7294781
1987-07-15,-0.9782973,-0.7195513
1987-08-15,-1.1166549,-0.6996757
1987-09-15,0.09466213,-0.70263845
1987-10-15,-0.12624775,-0.7216711
1987-11-15,-0.7061961,-0.73370403
1987-12-15,-0.57745,-0.7501472
1988-01-15,-0.07037752,-0.7591819
1988-02-15,6.814039e-05,-0.75306326
1988-03-15,-0.40866753,-0.7403202
1988-04-15,-0.36732748,-0.7099248
1988-05-15,-0.5661117,-0.66499174
1988-06-15,-1.2098905,-0.6290915
1988-07-15,-0.5531465,-0.621072
1988-08-15,-0.34698886,-0.6180948
1988-09-15,-0.8737485,-0.6313651
1988-10-15,-0.7323155,-0.6741816
1988-11-15,-0.80317366,-0.69278055
1988-12-15,-1.0596662,-0.67863226
1989-01-15,-0.8001245,-0.6680515
1989-02-15,-0.6748527,-0.66454244
1989-03-15,-0.48315698,-0.6532406
1989-04-15,-0.22985247,-0.63895255
1989-05-15,-0.85522854,-0.618534
1989-06-15,-1.3935717,-0.59953755
1989-07-15,-1.1131189,-0.59992397
1989-08-15,-0.83893013,-0.6146186
1989-09-15,-0.82003623,-0.6244879
1989-10-15,-1.2667401,-0.60746783
1989-11-15,-0.4584551,-0.5688312
1989-12-15,-0.14607319,-0.5258565
1990-01-15,0.0061240965,-0.48622862
1990-02-15,0.092001125,-0.4584608
1990-03-15,0.04188634,-0.44474444
1990-04-15,-0.13205425,-0.4479466
1990-05-15,0.17870535,-0.47966042
1990-06-15,-1.0428786,-0.5141234
1990-07-15,-0.7387067,-0.53140044
1990-08-15,-0.86676973,-0.54050237
1990-09-15,-0.8276939,-0.5324167
1990-10-15,0.038592037,-0.5015146
1990-11-15,0.28047863,-0.48643598
1990-12-15,-0.08053232,-0.50681496
1991-01-15,0.12287934,-0.540909
1991-02-15,-0.26500258,-0.5773135
1991-03-15,-0.23462059,-0.61479944
1991-04-15,-0.6320935,-0.6522616
1991-05-15,-1.9752501,-0.6969487
1991-06-15,-1.927773,-0.7351374
1991-07-15,-1.4082153,-0.7585332
1991-08-15,-0.9807282,-0.75681096
1991-09-15,-0.29012412,-0.7368524
1991-10-15,-0.31335187,-0.7442781
1991-11-15,-0.6880691,-0.7702345
1991-12-15,-0.89464974,-0.7906902
1992-01-15,-0.881815,-0.81327003
1992-02-15,-0.76747566,-0.8346134
1992-03-15,-0.8979622,-0.85438186
1992-04-15,-0.99038875,-0.86836535
1992-05-15,-1.1079419,-0.8376227
1992-06-15,-1.5892892,-0.77000004
1992-07-15,-1.3152927,-0.72743905
1992-08-15,-0.2075164,-0.71335
1992-09-15,-0.52893746,-0.7115399
1992-10-15,-0.6165956,-0.7226361
1992-11-15,-0.31024238,-0.7199616
1992-12-15,-0.47168425,-0.6937293
1993-01-15,-0.56980157,-0.6571095
1993-02-15,-0.59680223,-0.6290498
1993-03-15,-0.8517075,-0.59777164
1993-04-15,-0.68621457,-0.56001514
1993-05-15,-0.44548175,-0.5268568
1993-06-15,-0.21165407,-0.49317023
1993-07-15,-1.0814059,-0.45216516
1993-08-15,-0.6312645,-0.41645998
1993-09-15,-0.5527031,-0.38773978
1993-10-15,-0.5833898,-0.3515057
1993-11-15,-0.28965306,-0.32642168
1993-12-15,-0.033914845,-0.31601796
1994-01-15,0.015197843,-0.3123637
1994-02-15,-0.3176202,-0.30234522
1994-03-15,0.15353203,-0.2768632
1994-04-15,-0.2295729,-0.25798893
1994-05-15,-0.27715597,-0.25949436
1994-06-15,-0.8031197,-0.26971132
1994-07-15,-0.13321926,-0.2558065
1994-08-15,0.32425886,-0.22499338
1994-09-15,0.31785786,-0.2173526
1994-10-15,0.27584445,-0.22250254
1994-11-15,0.001350793,-0.23684995
1994-12-15,-0.28389925,-0.26141742
1995-01-15,-0.5821823,-0.2743496
1995-02-15,-0.1035341,-0.27263027
1995-03-15,-0.121838786,-0.28347465
1995-04-15,-0.5101178,-0.3053673
1995-05-15,-0.69383955,-0.31481153
1995-06-15,-0.453711,-0.30763575
1995-07-15,-0.17191732,-0.31885576
1995-08-15,-0.061723,-0.3591497
1995-09-15,-0.7554871,-0.41107813
1995-10-15,-0.62780344,-0.4791817
1995-11-15,-0.9339152,-0.5352326
1995-12-15,-0.56889176,-0.55787253
1996-01-15,-0.07056928,-0.547491
1996-02-15,-0.14932531,-0.52705467
1996-03-15,-0.53529304,-0.5133426
1996-04-15,-0.5915945,-0.5074921
1996-05-15,-0.36845773,-0.49833345
1996-06-15,-0.36738136,-0.47865885
1996-07-15,-1.107518,-0.48312166
1996-08-15,-0.63555086,-0.51224643
1996-09-15,-1.2148973,-0.5241287
1996-10-15,-1.4603727,-0.51305276
1996-11-15,-0.9528745,-0.495062
1996-12-15,-0.41638938,-0.47905877
1997-01-15,0.04862059,-0.46920797
1997-02-15,0.2466054,-0.45749494
1997-03-15,0.18620019,-0.4369218
1997-04-15,-0.5373309,-0.41303438
1997-05-15,-0.22701088,-0.40244594
1997-06-15,0.023839757,-0.3999368
1997-07-15,-0.8636821,-0.37936518
1997-08-15,-0.767948,-0.3473614
1997-09-15,-0.6196088,-0.31379902
1997-10-15,-0.23203817,-0.27215236
1997-11-15,-0.4661237,-0.2343736
1997-12-15,-0.26852834,-0.22097145
1998-01-15,0.10190604,-0.2278221
1998-02-15,0.24042451,-0.24354497
1998-03-15,0.06246801,-0.2618871
1998-04-15,-0.042759567,-0.26328465
1998-05-15,-0.40904826,-0.24505337
1998-06-15,-0.20635064,-0.22775036
1998-07-15,-0.28111133,-0.20813282
1998-08-15,0.07422394,-0.17510112
1998-09-15,-0.31367767,-0.13209556
1998-10-15,-0.3625533,-0.092181556
1998-11-15,-0.23731269,-0.059217285
1998-12-15,-0.4886483,-0.03863166
1999-01-15,-0.20795126,-0.044240076
1999-02-15,-0.25152057,-0.06273124
1999-03-15,-0.1960961,-0.07994444
1999-04-15,-0.22211713,-0.09164085
1999-05-15,0.33287698,-0.07642375
1999-06-15,0.29449588,-0.049104095
1999-07-15,-0.19269624,-0.047181763
1999-08-15,0.14658783,-0.069160424
1999-09-15,0.5301224,-0.08365803
1999-10-15,0.5341026,-0.08870528
1999-11-15,0.3500204,-0.09087041
1999-12-15,-0.09656227,-0.07110007
2000-01-15,-0.33926415,-0.050087187
2000-02-15,-0.20598148,-0.0362889
2000-03-15,-0.31735918,-0.012858881
2000-04-15,-0.22436018,0.007984687
2000-05-15,0.50297326,-0.0019668627
2000-06-15,0.19297132,-0.034776434
2000-07-15,-0.5881615,-0.057433765
2000-08-15,-0.6737014,-0.068158925
2000-09-15,-0.2616377,-0.08910227
2000-10-15,-0.6568609,-0.102142215
2000-11-15,-0.046931725,-0.10522514
2000-12-15,0.269947,-0.1196557
2001-01-15,0.042072054,-0.12853488
2001-02-15,0.16077395,-0.12234905
2001-03-15,0.5162502,-0.102580085
2001-04-15,0.06602786,-0.086296365
2001-05-15,-0.4329424,-0.09521047
2001-06-15,-0.51454425,-0.1114467
2001-07-15,-0.47120786,-0.10400407
2001-08-15,-0.08970818,-0.08936572
2001-09-15,-0.23886226,-0.087636285
2001-10-15,0.67716974,-0.08340874
2001-11-15,0.058973175,-0.078151494
2001-12-15,-0.49818212,-0.08268747
2002-01-15,-0.36384532,-0.082504764
2002-02-15,0.115519874,-0.08647181
2002-03-15,0.31004977,-0.11171662
2002-04-15,-0.07015039,-0.14049593
2002-05-15,-0.079113536,-0.1308959
2002-06-15,-0.004281014,-0.06999115
2002-07-15,-0.033662856,0.001905346
2002-08-15,-0.5255594,0.05718869
2002-09-15,-0.32676676,0.08492411
2002-10-15,-0.38880998,0.07244028
2002-11-15,-0.06263454,0.051912062
2002-12-15,0.067923054,0.059526972
2003-01-15,0.25286564,0.07041251
2003-02-15,-0.24043755,0.0604955
2003-03-15,-0.2942893,0.034707014
2003-04-15,-0.5048391,0.014354667
2003-05-15,0.5987256,-0.009541936
2003-06-15,1.3772157,-0.042576794
2003-07-15,1.0880638,-0.057924617
2003-08-15,1.0046206,-0.05510842
2003-09-15,-0.0018907067,-0.050828308
2003-10-15,-0.15902571,-0.039949805
2003-11-15,-0.09018594,-0.021243658
2003-12-15,0.016492713,-0.013619083
2004-01-15,-0.35601425,-0.02127592
2004-02-15,-0.36832786,-0.034995172
2004-03-15,-0.4439498,-0.045470845
2004-04-15,-0.29306346,-0.051931713
2004-05-15,-1.0032375,-0.0683945
2004-06-15,-0.66583025,-0.11033384
2004-07-15,-0.10880911,-0.16071291
2004-08-15,-0.3152358,-0.2177255
2004-09-15,-0.33164498,-0.26025683
2004-10-15,0.13823654,-0.27146873
2004-11-15,0.30821392,-0.2751451
2004-12-15,0.06305418,-0.2860423
2005-01-15,-0.109793685,-0.2987397
2005-02-15,-0.53630227,-0.3038871
2005-03-15,-0.5012568,-0.30809775
2005-04-15,-0.60799325,-0.3046731
2005-05-15,-0.088334076,-0.27407408
2005-06-15,0.05118744,-0.2434992
2005-07-15,-0.004103559,-0.22771011
2005-08-15,-0.6398165,-0.21746252
2005-09-15,-0.39895752,-0.21919577
2005-10-15,-0.30012894,-0.22183746
2005-11-15,-0.12554944,-0.23108204
2005-12-15,-0.4712096,-0.23256937
2006-01-15,-0.47778746,-0.21720283
2006-02-15,-0.49362925,-0.18989025
2006-03-15,-0.52076006,-0.15421386
2006-04-15,-0.051868822,-0.1154036
2006-05-15,0.22432023,-0.080158524
2006-06-15,-0.42579362,-0.05985216
2006-07-15,0.40903094,-0.05109613
2006-08-15,-0.34119165,-0.042138204
2006-09-15,-0.3888853,-0.03454477
2006-10-15,0.068675704,-0.032666896
2006-11-15,-0.06596494,-0.039557464
2006-12-15,0.36584163,-0.04578281
2007-01-15,0.32501215,-0.033881184
2007-02-15,0.33989573,-0.011213461
2007-03-15,0.33501217,0.016779454
2007-04-15,0.41863024,0.036515232
2007-05-15,0.5768059,0.03800332
2007-06-15,0.360753,0.04903038
2007-07-15,0.1066203,0.06215218
2007-08-15,-0.32055992,0.069524705
2007-09-15,-0.35372928,0.09140558
2007-10-15,-0.2552192,0.096823104
2007-11-15,-0.5012066,0.09395207
2007-12-15,-0.39436895,0.09046443
2008-01-15,0.016649911,0.07339419
2008-02-15,0.09998407,0.058128446
2008-03-15,0.22928654,0.038596805
2008-04-15,0.14540188,0.013834499
2008-05-15,0.09847787,-0.0035658926
2008-06-15,0.22934747,-0.004747109
2008-07-15,0.38373622,0.004169018
2008-08-15,0.03798422,0.02304041
2008-09-15,0.28222078,0.05054213
2008-10-15,-0.34238923,0.07238046
2008-11-15,0.20729037,0.08250865
2008-12-15,-0.074820474,0.09167024
2009-01-15,-0.053697135,0.10234083
2009-02-15,-0.014150711,0.10671797
2009-03-15,-0.24846007,0.10750209
2009-04-15,-0.1864883,0.1182442
2009-05-15,0.34670562,0.13180271
2009-06-15,0.5341549,0.1287967
2009-07-15,0.36119252,0.12679242
2009-08-15,0.33069462,0.13272783
2009-09-15,0.31509888,0.12994167
2009-10-15,0.12419236,0.13091159
2009-11-15,-0.3944649,0.13077866
2009-12-15,-0.061354578,0.13078324
2010-01-15,0.19582413,0.14674054
2010-02-15,0.13091244,0.16704255
2010-03-15,0.23599595,0.18924254
2010-04-15,0.65431404,0.21856573
2010-05-15,0.24037407,0.2341019
2010-06-15,-0.056837164,0.2257134
2010-07-15,0.5737148,0.21520023
2010-08-15,0.13290605,0.20302145
2010-09-15,0.053562857,0.20344648
2010-10-15,-0.06717515,0.21067002
2010-11-15,-0.0743047,0.21351467
2010-12-15,0.20699519,0.22401461
2011-01-15,0.43043727,0.22644721
2011-02-15,0.4762113,0.21523024
2011-03-15,0.32677767,0.2011223
2011-04-15,0.64578706,0.18330483
2011-05-15,0.26016676,0.17682007
2011-06-15,0.21804547,0.20004626
2011-07-15,0.17266983,0.2255746
2011-08-15,-0.06536437,0.24599202
2011-09-15,0.73155946,0.2631134
2011-10-15,0.05446213,0.28766176
2011-11-15,-0.18819202,0.32704383
2011-12-15,0.2363694,0.34615767
2012-01-15,0.014865076,0.34125757
2012-02-15,-0.22654271,0.3267687
2012-03-15,-0.08373,0.31110695
2012-04-15,0.11880097,0.2992642
2012-05-15,0.4646192,0.29655758
2012-06-15,0.8337742,0.28381705
2012-07-15,0.90846425,0.264331
2012-08-15,0.7781924,0.26522782
2012-09-15,0.23010314,0.25826785
2012-10-15,0.93460625,0.25183842
2012-11-15,0.8142528,0.2730431
2012-12-15,0.23590204,0.28491536
2013-01-15,0.16632558,0.29094726
2013-02-15,0.044857107,0.31738013
2013-03-15,0.0063680583,0.34762096
2013-04-15,0.3977443,0.37444836
2013-05-15,0.3782913,0.38297218
2013-06-15,-0.51162374,0.3636206
2013-07-15,-0.032990396,0.3231236
2013-08-15,0.18334275,0.27830565
2013-09-15,0.14877322,0.2663569
2013-10-15,0.32863563,0.26791248
2013-11-15,0.5554593,0.25605828
2013-12-15,0.06258676,0.26260176
2014-01-15,0.47817904,0.28052
2014-02-15,0.5789205,0.28793564
2014-03-15,0.5623667,0.29109251
2014-04-15,0.7604198,0.2854273
2014-05-15,0.2321437,0.28340724
2014-06-15,0.13737445,0.30495194
2014-07-15,-0.338993,0.34366602
2014-08-15,-0.12561211,0.38154316
2014-09-15,0.5603673,0.4102019
2014-10-15,0.679011,0.4252382
2014-11-15,0.5008455,0.4264328
2014-12-15,0.86339706,0.43492293
2015-01-15,0.39890537,0.4500871
2015-02-15,0.16822836,0.45802674
2015-03-15,0.03452636,0.4629724
2015-04-15,0.09765646,0.46987265
2015-05-15,0.58141553,0.47262657
2015-06-15,0.31939864,0.47389862
2015-07-15,0.99426305,0.4904194
2015-08-15,0.9741914,0.50237846
2015-09-15,0.7335448,0.49832088
2015-10-15,0.4656052,0.4932464
2015-11-15,0.4758312,0.49410436
2015-12-15,0.54974055,0.4924111
2016-01-15,0.71890545,0.48250133
2016-02-15,0.7192968,0.47843197
2016-03-15,0.6593832,0.49051264
2016-04-15,0.9946157,0.5149594
2016-05-15,0.13013454,0.5307757
2016-06-15,0.30044267,0.55343825
2016-07-15,0.29093504,0.5690391
2016-08-15,-0.18150365,0.55507654
2016-09-15,0.4214938,0.5319744
2016-10-15,0.5743105,0.50801474
2016-11-15,0.64672697,0.48534542
2016-12-15,0.63624024,0.45991877
2017-01-15,0.15039271,0.43643618
2017-02-15,0.2214122,0.41854504
2017-03-15,0.5612142,0.4061366
2017-04-15,0.74441445,0.39862788
2017-05-15,0.6938408,0.41833755
2017-06-15,1.2947748,0.4570323
2017-07-15,0.76772606,0.48220715
2017-08-15,0.5305264,0.5134312
2017-09-15,0.0683065,0.547278
2017-10-15,-0.019220712,0.55445427
2017-11-15,-0.12746896,0.5444219
2017-12-15,-0.06743907,0.53192985
2018-01-15,0.20892107,0.5231787
2018-02-15,0.37050638,0.51708275
2018-03-15,0.41256884,0.5060732
2018-04-15,0.88101125,0.48306534
2018-05-15,1.1898038,0.44187826
2018-06-15,1.0981207,0.40291202
2018-07-15,0.7016495,0.39350122
2018-08-15,0.9065369,0.39825818
2018-09-15,0.95809793,0.40731445
2018-10-15,0.38216755,0.43248755
2018-11-15,0.3573182,0.46466064
2018-12-15,0.32602903,0.4923735
2019-01-15,0.040548917,0.5061814
2019-02-15,0.038649835,0.51220727
2019-03-15,0.21551818,0.51723194
2019-04-15,-0.014266283,0.50924486
2019-05-15,-0.5244574,0.49216518
2019-06-15,0.64269334,0.45721248
2019-07-15,0.9680891,0.42464292
2019-08-15,0.5584977,0.41170678
2019-09-15,0.4750358,0.400612
2019-10-15,0.78235894,0.39596522
2019-11-15,0.6152598,0.40199903
2019-12-15,0.5200487,0.41554445
2020-01-15,0.2842133,0.43575153
2020-02-15,0.58445406,0.46199208
2020-03-15,0.43980545,0.48072377
2020-04-15,0.47039557,0.4883166
2020-05-15,0.7805958,0.50936973
2020-06-15,-0.17040071,0.5271741
2020-07-15,0.4068311,0.52266234
2020-08-15,0.58042026,0.5211576
2020-09-15,0.7516652,0.5238496
2020-10-15,0.3655561,0.5111712
2020-11-15,0.6635519,0.48849624
2020-12-15,0.6699755,0.4638178
2021-01-15,0.6665427,0.44331148
2021-02-15,0.6722018,0.4297148
2021-03-15,0.4810873,0.4109033
2021-04-15,0.08462089,0.38969123
2021-05-15,0.38720575,0.37853345
2021-06-15,0.5856407,0.41656467
2021-07-15,0.80857533,0.47652778
2021-08-15,0.6457849,0.5111199
2021-09-15,0.516964,0.530825
2021-10-15,0.13186911,0.54213667
2021-11-15,0.17735085,0.5521939
2021-12-15,-0.22660743,0.5628705
2022-01-15,0.046565752,0.57956356
2022-02-15,0.16946049,0.59072286
2022-03-15,-0.04815301,0.5986328
2022-04-15,-0.05982546,0.6224155
2022-05-15,0.7752438,0.6373649
2022-06-15,1.6604502,0.6414454
2022-07-15,1.4542083,0.6657115
2022-08-15,1.1934645,0.6897976
2022-09-15,1.0844667,0.6980536
2022-10-15,0.5757161,0.7286344
2022-11-15,0.93613595,0.7796553
2022-12-15,0.9098711,0.828921
2023-01-15,1.2279127,
2023-02-15,0.6464795,
2023-03-15,0.88648695,
2023-04-15,0.8207897,
2023-05-15,0.36860874,
2023-06-15,0.80010134,
2023-07-15,1.7588874,
2023-08-15,0.8516034,
2023-09-15,0.7074357,
2023-10-15,1.4092753,
2023-11-15,1.348947,
2023-12-15,0.96655256,
