time,MSL_filtered_GIA_TPA_corrected_adjusted,chlor_a,sst_anomaly
1982-01-15,,,-0.22812633
1982-02-15,,,-0.25176266
1982-03-15,,,-0.63939565
1982-04-15,,,-0.82847565
1982-05-15,,,-1.3471369
1982-06-15,,,-0.6126541
1982-07-15,,,-0.7548428
1982-08-15,,,-1.3676598
1982-09-15,,,-1.008956
1982-10-15,,,-0.62887037
1982-11-15,,,-0.6465659
1982-12-15,,,-1.286453
1983-01-15,,,-1.2434199
1983-02-15,,,-1.307278
1983-03-15,,,-1.23066
1983-04-15,,,-1.2063545
1983-05-15,,,-1.0644214
1983-06-15,,,-1.5580952
1983-07-15,,,-0.6521346
1983-08-15,,,-1.5232941
1983-09-15,,,-1.210948
1983-10-15,,,-1.0692927
1983-11-15,,,-0.8669899
1983-12-15,,,-0.9860611
1984-01-15,,,-0.7556451
1984-02-15,,,-0.9068118
1984-03-15,,,-0.87274235
1984-04-15,,,-0.9934783
1984-05-15,,,-2.0011597
1984-06-15,,,-2.469822
1984-07-15,,,-2.068923
1984-08-15,,,-2.2251863
1984-09-15,,,-1.7898159
1984-10-15,,,-1.4870524
1984-11-15,,,-0.5479987
1984-12-15,,,-0.35070962
1985-01-15,,,-0.6662275
1985-02-15,,,-0.46393755
1985-03-15,,,-0.69436985
1985-04-15,,,-0.76218027
1985-05-15,,,-1.1413311
1985-06-15,,,-0.78708535
1985-07-15,,,-0.932097
1985-08-15,,,-1.1161029
1985-09-15,,,-0.79840916
1985-10-15,,,-0.4850916
1985-11-15,,,-0.6036622
1985-12-15,,,-0.30800557
1986-01-15,,,-0.19906712
1986-02-15,,,-0.4886032
1986-03-15,,,-0.4095139
1986-04-15,,,-0.45092162
1986-05-15,,,-0.26389003
1986-06-15,,,-1.0940533
1986-07-15,,,-1.1454694
1986-08-15,,,-0.7086968
1986-09-15,,,-0.3698283
1986-10-15,,,-0.32267
1986-11-15,,,-0.6352371
1986-12-15,,,-0.43833014
1987-01-15,,,-0.98779494
1987-02-15,,,-0.78087693
1987-03-15,,,-0.98880035
1987-04-15,,,-1.1831886
1987-05-15,,,-2.05868
1987-06-15,,,-1.9133308
1987-07-15,,,-0.9782973
1987-08-15,,,-1.1166549
1987-09-15,,,0.09466213
1987-10-15,,,-0.12624775
1987-11-15,,,-0.7061961
1987-12-15,,,-0.57745
1988-01-15,,,-0.07037752
1988-02-15,,,6.814039e-05
1988-03-15,,,-0.40866753
1988-04-15,,,-0.36732748
1988-05-15,,,-0.5661117
1988-06-15,,,-1.2098905
1988-07-15,,,-0.5531465
1988-08-15,,,-0.34698886
1988-09-15,,,-0.8737485
1988-10-15,,,-0.7323155
1988-11-15,,,-0.80317366
1988-12-15,,,-1.0596662
1989-01-15,,,-0.8001245
1989-02-15,,,-0.6748527
1989-03-15,,,-0.48315698
1989-04-15,,,-0.22985247
1989-05-15,,,-0.85522854
1989-06-15,,,-1.3935717
1989-07-15,,,-1.1131189
1989-08-15,,,-0.83893013
1989-09-15,,,-0.82003623
1989-10-15,,,-1.2667401
1989-11-15,,,-0.4584551
1989-12-15,,,-0.14607319
1990-01-15,,,0.0061240965
1990-02-15,,,0.092001125
1990-03-15,,,0.04188634
1990-04-15,,,-0.13205425
1990-05-15,,,0.17870535
1990-06-15,,,-1.0428786
1990-07-15,,,-0.7387067
1990-08-15,,,-0.86676973
1990-09-15,,,-0.8276939
1990-10-15,,,0.038592037
1990-11-15,,,0.28047863
1990-12-15,,,-0.08053232
1991-01-15,,,0.12287934
1991-02-15,,,-0.26500258
1991-03-15,,,-0.23462059
1991-04-15,,,-0.6320935
1991-05-15,,,-1.9752501
1991-06-15,,,-1.927773
1991-07-15,,,-1.4082153
1991-08-15,,,-0.9807282
1991-09-15,,,-0.29012412
1991-10-15,,,-0.31335187
1991-11-15,,,-0.6880691
1991-12-15,,,-0.89464974
1992-01-15,,,-0.881815
1992-02-15,,,-0.76747566
1992-03-15,,,-0.8979622
1992-04-15,,,-0.99038875
1992-05-15,,,-1.1079419
1992-06-15,,,-1.5892892
1992-07-15,,,-1.3152927
1992-08-15,,,-0.2075164
1992-09-15,,,-0.52893746
1992-10-15,,,-0.6165956
1992-11-15,,,-0.31024238
1992-12-15,,,-0.47168425
1993-01-01,-2.4406073,,
1993-01-02,-2.412209,,
1993-01-03,-2.3837445,,
1993-01-04,-2.3551977,,
1993-01-05,-2.326554,,
1993-01-06,-2.2977984,,
1993-01-07,-2.2689166,,
1993-01-08,-2.2398949,,
1993-01-09,-2.2107203,,
1993-01-10,-2.1813796,,
1993-01-11,-2.1518605,,
1993-01-12,-2.122151,,
1993-01-13,-2.0922396,,
1993-01-14,-2.0621157,,
1993-01-15,-2.0317683,,-0.56980157
1993-01-16,-2.001188,,
1993-01-17,-1.9703648,,
1993-01-18,-1.9392899,,
1993-01-19,-1.9079548,,
1993-01-20,-1.8763518,,
1993-01-21,-1.8444734,,
1993-01-22,-1.8123127,,
1993-01-23,-1.7798635,,
1993-01-24,-1.7471198,,
1993-01-25,-1.7140764,,
1993-01-26,-1.6807286,,
1993-01-27,-1.6470716,,
1993-01-28,-1.6131016,,
1993-01-29,-1.5788149,,
1993-01-30,-1.5442083,,
1993-01-31,-1.509279,,
1993-02-01,-1.4740248,,
1993-02-02,-1.4384435,,
1993-02-03,-1.4025337,,
1993-02-04,-1.3662938,,
1993-02-05,-1.329723,,
1993-02-06,-1.2928203,,
1993-02-07,-1.2555859,,
1993-02-08,-1.2180195,,
1993-02-09,-1.1801218,,
1993-02-10,-1.1418934,,
1993-02-11,-1.1033357,,
1993-02-12,-1.0644504,,
1993-02-13,-1.0252393,,
1993-02-14,-0.985705,,
1993-02-15,-0.94585025,,-0.59680223
1993-02-16,-0.9056783,,
1993-02-17,-0.86519283,,
1993-02-18,-0.82439804,,
1993-02-19,-0.7832985,,
1993-02-20,-0.7418993,,
1993-02-21,-0.7002061,,
1993-02-22,-0.6582251,,
1993-02-23,-0.6159632,,
1993-02-24,-0.5734279,,
1993-02-25,-0.53062737,,
1993-02-26,-0.48757035,,
1993-02-27,-0.4442662,,
1993-02-28,-0.40072492,,
1993-03-01,-0.3569571,,
1993-03-02,-0.31297398,,
1993-03-03,-0.26878732,,
1993-03-04,-0.2244095,,
1993-03-05,-0.17985347,,
1993-03-06,-0.1351328,,
1993-03-07,-0.09026168,,
1993-03-08,-0.045254864,,
1993-03-09,-0.00012766063,,
1993-03-10,0.045104045,,
1993-03-11,0.0904238,,
1993-03-12,0.13581459,,
1993-03-13,0.1812588,,
1993-03-14,0.22673826,,
1993-03-15,0.2722342,,-0.8517075
1993-03-16,0.3177272,,
1993-03-17,0.36319724,,
1993-03-18,0.40862367,,
1993-03-19,0.45398524,,
1993-03-20,0.49926016,,
1993-03-21,0.54442596,,
1993-03-22,0.5894597,,
1993-03-23,0.63433784,,
1993-03-24,0.6790363,,
1993-03-25,0.72353065,,
1993-03-26,0.767796,,
1993-03-27,0.8118069,,
1993-03-28,0.8555378,,
1993-03-29,0.8989625,,
1993-03-30,0.9420546,,
1993-03-31,0.9847875,,
1993-04-01,1.027134,,
1993-04-02,1.0690665,,
1993-04-03,1.1105576,,
1993-04-04,1.151579,,
1993-04-05,1.1921027,,
1993-04-06,1.2321,,
1993-04-07,1.2715423,,
1993-04-08,1.3104007,,
1993-04-09,1.3486459,,
1993-04-10,1.3862487,,
1993-04-11,1.4231801,,
1993-04-12,1.4594107,,
1993-04-13,1.4949114,,
1993-04-14,1.5296537,,
1993-04-15,1.5636088,,-0.68621457
1993-04-16,1.5967491,,
1993-04-17,1.6290472,,
1993-04-18,1.6604766,,
1993-04-19,1.6910117,,
1993-04-20,1.7206283,,
1993-04-21,1.749303,,
1993-04-22,1.7770138,,
1993-04-23,1.8037404,,
1993-04-24,1.8294635,,
1993-04-25,1.8541656,,
1993-04-26,1.8778305,,
1993-04-27,1.9004438,,
1993-04-28,1.9219924,,
1993-04-29,1.9424651,,
1993-04-30,1.961852,,
1993-05-01,1.9801447,,
1993-05-02,1.997337,,
1993-05-03,2.0134234,,
1993-05-04,2.0284007,,
1993-05-05,2.0422666,,
1993-05-06,2.0550208,,
1993-05-07,2.0666642,,
1993-05-08,2.0771997,,
1993-05-09,2.0866313,,
1993-05-10,2.094965,,
1993-05-11,2.1022086,,
1993-05-12,2.1083715,,
1993-05-13,2.1134653,,
1993-05-14,2.1175034,,
1993-05-15,2.1205013,,-0.44548175
1993-05-16,2.1224763,,
1993-05-17,2.1234486,,
1993-05-18,2.1234393,,
1993-05-19,2.1224725,,
1993-05-20,2.1205738,,
1993-05-21,2.1177707,,
1993-05-22,2.1140924,,
1993-05-23,2.1095703,,
1993-05-24,2.1042368,,
1993-05-25,2.0981264,,
1993-05-26,2.0912745,,
1993-05-27,2.0837178,,
1993-05-28,2.075494,,
1993-05-29,2.0666413,,
1993-05-30,2.057199,,
1993-05-31,2.0472066,,
1993-06-01,2.0367045,,
1993-06-02,2.025733,,
1993-06-03,2.0143325,,
1993-06-04,2.0025434,,
1993-06-05,1.9904065,,
1993-06-06,1.9779621,,
1993-06-07,1.9652508,,
1993-06-08,1.952313,,
1993-06-09,1.9391885,,
1993-06-10,1.9259171,,
1993-06-11,1.9125384,,
1993-06-12,1.8990912,,
1993-06-13,1.885614,,
1993-06-14,1.8721449,,
1993-06-15,1.8587211,,-0.21165407
1993-06-16,1.8453796,,
1993-06-17,1.8321567,,
1993-06-18,1.819088,,
1993-06-19,1.8062084,,
1993-06-20,1.7935519,,
1993-06-21,1.7811522,,
1993-06-22,1.7690417,,
1993-06-23,1.7572517,,
1993-06-24,1.7458133,,
1993-06-25,1.7347559,,
1993-06-26,1.7241081,,
1993-06-27,1.7138973,,
1993-06-28,1.70415,,
1993-06-29,1.6948909,,
1993-06-30,1.6861435,,
1993-07-01,1.6779302,,
1993-07-02,1.6702719,,
1993-07-03,1.6631871,,
1993-07-04,1.6566911,,
1993-07-05,1.6507959,,
1993-07-06,1.6455126,,
1993-07-07,1.6408509,,
1993-07-08,1.6368189,,
1993-07-09,1.6334232,,
1993-07-10,1.6306694,,
1993-07-11,1.6285616,,
1993-07-12,1.627103,,
1993-07-13,1.6262953,,
1993-07-14,1.6261395,,
1993-07-15,1.6266352,,-1.0814059
1993-07-16,1.627781,,
1993-07-17,1.6295749,,
1993-07-18,1.6320133,,
1993-07-19,1.635092,,
1993-07-20,1.6388057,,
1993-07-21,1.6431485,,
1993-07-22,1.6481133,,
1993-07-23,1.6536922,,
1993-07-24,1.6598773,,
1993-07-25,1.666659,,
1993-07-26,1.6740274,,
1993-07-27,1.6819718,,
1993-07-28,1.6904808,,
1993-07-29,1.6995422,,
1993-07-30,1.709143,,
1993-07-31,1.7192695,,
1993-08-01,1.729907,,
1993-08-02,1.7410406,,
1993-08-03,1.7526536,,
1993-08-04,1.764729,,
1993-08-05,1.7772485,,
1993-08-06,1.7901926,,
1993-08-07,1.8035406,,
1993-08-08,1.8172708,,
1993-08-09,1.8313602,,
1993-08-10,1.8457848,,
1993-08-11,1.8605193,,
1993-08-12,1.8755368,,
1993-08-13,1.8908094,,
1993-08-14,1.9063083,,
1993-08-15,1.9220033,,-0.6312645
1993-08-16,1.9378637,,
1993-08-17,1.9538578,,
1993-08-18,1.9699535,,
1993-08-19,1.9861182,,
1993-08-20,2.0023189,,
1993-08-21,2.0185225,,
1993-08-22,2.0346959,,
1993-08-23,2.0508058,,
1993-08-24,2.0668194,,
1993-08-25,2.0827043,,
1993-08-26,2.0984282,,
1993-08-27,2.11396,,
1993-08-28,2.1292691,,
1993-08-29,2.1443253,,
1993-08-30,2.1591,,
1993-08-31,2.1735656,,
1993-09-01,2.1876953,,
1993-09-02,2.201464,,
1993-09-03,2.2148478,,
1993-09-04,2.2278237,,
1993-09-05,2.2403703,,
1993-09-06,2.2524674,,
1993-09-07,2.2640958,,
1993-09-08,2.2752376,,
1993-09-09,2.2858758,,
1993-09-10,2.295995,,
1993-09-11,2.3055804,,
1993-09-12,2.314619,,
1993-09-13,2.3230987,,
1993-09-14,2.331008,,
1993-09-15,2.3383365,,-0.5527031
1993-09-16,2.345075,,
1993-09-17,2.3512146,,
1993-09-18,2.3567476,,
1993-09-19,2.3616667,,
1993-09-20,2.3659654,,
1993-09-21,2.3696382,,
1993-09-22,2.3726804,,
1993-09-23,2.3750877,,
1993-09-24,2.376857,,
1993-09-25,2.377986,,
1993-09-26,2.3784735,,
1993-09-27,2.3783193,,
1993-09-28,2.3775237,,
1993-09-29,2.3760889,,
1993-09-30,2.3740172,,
1993-10-01,2.371313,,
1993-10-02,2.3679807,,
1993-10-03,2.364026,,
1993-10-04,2.3594556,,
1993-10-05,2.3542771,,
1993-10-06,2.3484986,,
1993-10-07,2.3421297,,
1993-10-08,2.33518,,
1993-10-09,2.3276608,,
1993-10-10,2.3195832,,
1993-10-11,2.31096,,
1993-10-12,2.301804,,
1993-10-13,2.2921293,,
1993-10-14,2.28195,,
1993-10-15,2.2712812,,-0.5833898
1993-10-16,2.2601383,,
1993-10-17,2.2485368,,
1993-10-18,2.2364938,,
1993-10-19,2.2240255,,
1993-10-20,2.2111495,,
1993-10-21,2.1978827,,
1993-10-22,2.184243,,
1993-10-23,2.170248,,
1993-10-24,2.1559165,,
1993-10-25,2.1412663,,
1993-10-26,2.126316,,
1993-10-27,2.1110842,,
1993-10-28,2.0955894,,
1993-10-29,2.0798512,,
1993-10-30,2.0638878,,
1993-10-31,2.0477188,,
1993-11-01,2.0313635,,
1993-11-02,2.014841,,
1993-11-03,1.998171,,
1993-11-04,1.9813732,,
1993-11-05,1.9644669,,
1993-11-06,1.9474721,,
1993-11-07,1.930408,,
1993-11-08,1.9132941,,
1993-11-09,1.8961495,,
1993-11-10,1.8789929,,
1993-11-11,1.8618429,,
1993-11-12,1.8447174,,
1993-11-13,1.827634,,
1993-11-14,1.8106093,,
1993-11-15,1.7936599,,-0.28965306
1993-11-16,1.7768013,,
1993-11-17,1.7600484,,
1993-11-18,1.7434156,,
1993-11-19,1.7269162,,
1993-11-20,1.7105631,,
1993-11-21,1.6943684,,
1993-11-22,1.678343,,
1993-11-23,1.6624979,,
1993-11-24,1.6468424,,
1993-11-25,1.6313856,,
1993-11-26,1.616136,,
1993-11-27,1.6011009,,
1993-11-28,1.5862876,,
1993-11-29,1.5717022,,
1993-11-30,1.5573506,,
1993-12-01,1.5432379,,
1993-12-02,1.5293686,,
1993-12-03,1.515747,,
1993-12-04,1.5023763,,
1993-12-05,1.48926,,
1993-12-06,1.4764004,,
1993-12-07,1.4638,,
1993-12-08,1.4514605,,
1993-12-09,1.4393833,,
1993-12-10,1.4275696,,
1993-12-11,1.4160202,,
1993-12-12,1.4047353,,
1993-12-13,1.3937153,,
1993-12-14,1.3829597,,
1993-12-15,1.3724684,,-0.033914845
1993-12-16,1.3622403,,
1993-12-17,1.3522745,,
1993-12-18,1.3425701,,
1993-12-19,1.3331254,,
1993-12-20,1.3239391,,
1993-12-21,1.3150095,,
1993-12-22,1.3063345,,
1993-12-23,1.2979122,,
1993-12-24,1.2897404,,
1993-12-25,1.2818166,,
1993-12-26,1.2741385,,
1993-12-27,1.2667034,,
1993-12-28,1.2595086,,
1993-12-29,1.2525516,,
1993-12-30,1.2458293,,
1993-12-31,1.2393392,,
1994-01-01,1.2330779,,
1994-01-02,1.2270423,,
1994-01-03,1.2212292,,
1994-01-04,1.2156352,,
1994-01-05,1.2102568,,
1994-01-06,1.2050905,,
1994-01-07,1.2001325,,
1994-01-08,1.1953788,,
1994-01-09,1.1908255,,
1994-01-10,1.1864685,,
1994-01-11,1.1823039,,
1994-01-12,1.1783278,,
1994-01-13,1.1745362,,
1994-01-14,1.1709256,,
1994-01-15,1.1674923,,0.015197843
1994-01-16,1.1642332,,
1994-01-17,1.1611454,,
1994-01-18,1.1582265,,
1994-01-19,1.155474,,
1994-01-20,1.1528864,,
1994-01-21,1.1504622,,
1994-01-22,1.1482006,,
1994-01-23,1.1461011,,
1994-01-24,1.1441638,,
1994-01-25,1.1423894,,
1994-01-26,1.1407784,,
1994-01-27,1.1393323,,
1994-01-28,1.1380525,,
1994-01-29,1.1369408,,
1994-01-30,1.1359994,,
1994-01-31,1.1352305,,
1994-02-01,1.134637,,
1994-02-02,1.1342216,,
1994-02-03,1.133987,,
1994-02-04,1.1339365,,
1994-02-05,1.1340733,,
1994-02-06,1.1344005,,
1994-02-07,1.1349216,,
1994-02-08,1.1356401,,
1994-02-09,1.1365597,,
1994-02-10,1.1376837,,
1994-02-11,1.1390162,,
1994-02-12,1.1405606,,
1994-02-13,1.1423209,,
1994-02-14,1.1443007,,
1994-02-15,1.1465039,,-0.3176202
1994-02-16,1.1489344,,
1994-02-17,1.1515958,,
1994-02-18,1.1544924,,
1994-02-19,1.1576277,,
1994-02-20,1.1610059,,
1994-02-21,1.1646305,,
1994-02-22,1.1685055,,
1994-02-23,1.1726351,,
1994-02-24,1.1770229,,
1994-02-25,1.1816732,,
1994-02-26,1.1865895,,
1994-02-27,1.1917757,,
1994-02-28,1.1972355,,
1994-03-01,1.2029724,,
1994-03-02,1.2089896,,
1994-03-03,1.2152904,,
1994-03-04,1.2218775,,
1994-03-05,1.2287533,,
1994-03-06,1.2359207,,
1994-03-07,1.2433816,,
1994-03-08,1.251138,,
1994-03-09,1.2591914,,
1994-03-10,1.2675431,,
1994-03-11,1.2761941,,
1994-03-12,1.2851449,,
1994-03-13,1.2943958,,
1994-03-14,1.3039466,,
1994-03-15,1.3137968,,0.15353203
1994-03-16,1.3239452,,
1994-03-17,1.3343905,,
1994-03-18,1.345131,,
1994-03-19,1.3561641,,
1994-03-20,1.3674868,,
1994-03-21,1.3790959,,
1994-03-22,1.3909874,,
1994-03-23,1.4031565,,
1994-03-24,1.4155983,,
1994-03-25,1.4283068,,
1994-03-26,1.441276,,
1994-03-27,1.4544986,,
1994-03-28,1.4679673,,
1994-03-29,1.481674,,
1994-03-30,1.49561,,
1994-03-31,1.5097666,,
1994-04-01,1.5241343,,
1994-04-02,1.5387033,,
1994-04-03,1.553464,,
1994-04-04,1.5684063,,
1994-04-05,1.5835198,,
1994-04-06,1.5987945,,
1994-04-07,1.6142197,,
1994-04-08,1.6297853,,
1994-04-09,1.6454808,,
1994-04-10,1.6612958,,
1994-04-11,1.6772197,,
1994-04-12,1.693242,,
1994-04-13,1.7093517,,
1994-04-14,1.7255378,,
1994-04-15,1.741789,,-0.2295729
1994-04-16,1.7580934,,
1994-04-17,1.7744389,,
1994-04-18,1.7908127,,
1994-04-19,1.8072014,,
1994-04-20,1.8235906,,
1994-04-21,1.8399653,,
1994-04-22,1.8563097,,
1994-04-23,1.872607,,
1994-04-24,1.8888398,,
1994-04-25,1.9049901,,
1994-04-26,1.9210391,,
1994-04-27,1.9369678,,
1994-04-28,1.9527568,,
1994-04-29,1.9683862,,
1994-04-30,1.9838362,,
1994-05-01,1.9990867,,
1994-05-02,2.0141182,,
1994-05-03,2.0289104,,
1994-05-04,2.0434442,,
1994-05-05,2.0577002,,
1994-05-06,2.0716598,,
1994-05-07,2.0853047,,
1994-05-08,2.098617,,
1994-05-09,2.1115794,,
1994-05-10,2.1241753,,
1994-05-11,2.136388,,
1994-05-12,2.1482015,,
1994-05-13,2.1596003,,
1994-05-14,2.1705687,,
1994-05-15,2.1810915,,-0.27715597
1994-05-16,2.1911542,,
1994-05-17,2.200742,,
1994-05-18,2.2098403,,
1994-05-19,2.2184358,,
1994-05-20,2.226515,,
1994-05-21,2.2340653,,
1994-05-22,2.2410748,,
1994-05-23,2.2475324,,
1994-05-24,2.2534275,,
1994-05-25,2.258751,,
1994-05-26,2.2634947,,
1994-05-27,2.2676513,,
1994-05-28,2.271215,,
1994-05-29,2.2741814,,
1994-05-30,2.2765474,,
1994-05-31,2.2783115,,
1994-06-01,2.279473,,
1994-06-02,2.2800336,,
1994-06-03,2.2799957,,
1994-06-04,2.2793632,,
1994-06-05,2.2781417,,
1994-06-06,2.276338,,
1994-06-07,2.2739604,,
1994-06-08,2.2710178,,
1994-06-09,2.267521,,
1994-06-10,2.2634811,,
1994-06-11,2.2589116,,
1994-06-12,2.253826,,
1994-06-13,2.248239,,
1994-06-14,2.2421665,,
1994-06-15,2.2356253,,-0.8031197
1994-06-16,2.2286327,,
1994-06-17,2.2212064,,
1994-06-18,2.2133656,,
1994-06-19,2.2051291,,
1994-06-20,2.1965165,,
1994-06-21,2.1875477,,
1994-06-22,2.1782427,,
1994-06-23,2.1686223,,
1994-06-24,2.1587067,,
1994-06-25,2.148517,,
1994-06-26,2.1380734,,
1994-06-27,2.1273973,,
1994-06-28,2.1165097,,
1994-06-29,2.1054316,,
1994-06-30,2.094184,,
1994-07-01,2.082788,,
1994-07-02,2.0712657,,
1994-07-03,2.059638,,
1994-07-04,2.047927,,
1994-07-05,2.036154,,
1994-07-06,2.024342,,
1994-07-07,2.0125127,,
1994-07-08,2.0006886,,
1994-07-09,1.9888922,,
1994-07-10,1.977146,,
1994-07-11,1.9654727,,
1994-07-12,1.9538946,,
1994-07-13,1.9424338,,
1994-07-14,1.931112,,
1994-07-15,1.9199505,,-0.13321926
1994-07-16,1.9089701,,
1994-07-17,1.8981907,,
1994-07-18,1.8876315,,
1994-07-19,1.877311,,
1994-07-20,1.8672465,,
1994-07-21,1.8574541,,
1994-07-22,1.8479488,,
1994-07-23,1.8387443,,
1994-07-24,1.8298526,,
1994-07-25,1.8212849,,
1994-07-26,1.8130506,,
1994-07-27,1.8051584,,
1994-07-28,1.7976153,,
1994-07-29,1.7904276,,
1994-07-30,1.7836003,,
1994-07-31,1.7771376,,
1994-08-01,1.7710426,,
1994-08-02,1.7653174,,
1994-08-03,1.7599639,,
1994-08-04,1.7549827,,
1994-08-05,1.7503746,,
1994-08-06,1.7461393,,
1994-08-07,1.7422765,,
1994-08-08,1.7387853,,
1994-08-09,1.7356644,,
1994-08-10,1.7329118,,
1994-08-11,1.730526,,
1994-08-12,1.7285047,,
1994-08-13,1.7268454,,
1994-08-14,1.7255459,,
1994-08-15,1.7246029,,0.32425886
1994-08-16,1.7240133,,
1994-08-17,1.7237735,,
1994-08-18,1.7238795,,
1994-08-19,1.724327,,
1994-08-20,1.7251115,,
1994-08-21,1.7262281,,
1994-08-22,1.7276721,,
1994-08-23,1.7294381,,
1994-08-24,1.7315207,,
1994-08-25,1.733914,,
1994-08-26,1.7366123,,
1994-08-27,1.7396092,,
1994-08-28,1.7428985,,
1994-08-29,1.7464734,,
1994-08-30,1.750327,,
1994-08-31,1.7544519,,
1994-09-01,1.7588401,,
1994-09-02,1.7634829,,
1994-09-03,1.7683716,,
1994-09-04,1.7734962,,
1994-09-05,1.7788467,,
1994-09-06,1.7844125,,
1994-09-07,1.7901825,,
1994-09-08,1.7961451,,
1994-09-09,1.8022883,,
1994-09-10,1.8085997,,
1994-09-11,1.8150661,,
1994-09-12,1.8216742,,
1994-09-13,1.8284105,,
1994-09-14,1.8352613,,
1994-09-15,1.8422129,,0.31785786
1994-09-16,1.8492514,,
1994-09-17,1.8563632,,
1994-09-18,1.8635348,,
1994-09-19,1.8707528,,
1994-09-20,1.8780043,,
1994-09-21,1.8852767,,
